MASKED_STUDENT_ID,CUM_GPA
LQUYAZCO,3.67
GDJS7QSE,2.31
F7UUSVKE,3.04
M6CJWGRJ,2.66
VDEBUG5Z,2.48
ROUZXDJO,3.38
PLLSPPBN,3.81
2HGPVRVG,3.01
QGGG8DI5,2.82
EZQIAFJK,3.17
P3Q1TM1D,2.84
GLEADYLS,4.0
NBBMMNNX,3.5
QGULGV23,3.66
7BLZRU3F,2.68
QQQIX1EU,2.15
82U3OZYP,3.34
47ZJZSDM,2.78
ERUTFUDB,3.02
GAKLMAY4,3.08
JJFRLGTM,2.84
EBSIREQC,3.29
WMW4OMZN,2.69
HCWT1RJD,2.97
PUCM21KU,2.33
RK5ELEIG,2.97
LH3FQWVD,2.94
SI6EYRRJ,2.93
OUWLUBXU,2.41
DCZPYZYC,2.63
IWZCG6WU,2.16
R7SC2LYF,3.14
KBTF1QBH,2.82
IAZCWJ6A,2.94
PGZ2BLGG,2.68
IUXAEZ8N,2.58
KQ3DSMDA,2.46
U1V4Y9TL,2.99
OQXPFRSN,2.69
XWIU4YXG,3.15
UKEKBCMC,2.32
CQK4ZMHC,2.52
HUBAFIKG,3.86
H7IB1CHI,2.71
TR1T1EXN,4.0
O4B1RVQH,2.51
KC6UZZQA,2.68
5J22ICAF,2.36
PEIDT5DS,2.85
VKXCN4AA,2.4
X9IRMV9G,2.87
NOFXD4NF,3.7
SJCWUCN6,2.73
YURDR26R,3.69
KF3CYAV8,2.36
OF7VRMI4,2.13
IA9DGJH6,2.16
RV4PPPKB,2.63
GBPLUNRX,3.5
3KCMROTX,3.4
DSDPNLSC,3.02
JDPEKQYN,3.56
AGGHHJB8,3.49
ILUN8CTZ,2.9
YTBZBGQX,2.36
5CMNELKJ,2.25
J1FPGJU4,2.24
G8LUICJE,3.0
TPDJJS7A,2.79
EEAMTDW2,3.27
N3TCZ8CC,3.79
9PFVMD6O,2.53
CLNZWE2X,3.11
NAPGUUJO,2.36
RF5UVPWB,2.79
OVOCTLKH,2.24
PKW3FKHU,2.73
OORXRLEV,2.95
WO8R2BAI,2.6
GZ5YSMU4,2.23
7LEQWIMJ,2.82
B9MSHIFK,2.84
IHVODULS,2.76
LCHIK2US,3.82
YS15BDBD,3.65
HOZDWQHP,3.17
AUQUWNLT,3.03
GQMST1YC,3.13
3YLYKRNA,3.52
C154L7BI,3.61
612UAKEA,4.0
PLYRBJCO,2.93
FARA91SE,3.82
PZ8L4ZIL,3.02
YD2YWEFJ,3.86
IHPXIE7A,2.7
LELCTSDE,3.53
RNXIUPGV,3.24
V8NE1IU2,2.85
GVWKI5SL,3.41
QB9MFS61,3.0
GEAFEYSW,3.38
1BEGDTLU,3.32
9QV2NAHV,2.88
3ISUW2AJ,3.21
LDVW6JDY,3.15
PZNWI5QJ,2.94
B5NEGNZT,3.35
O9TYHHWG,3.12
NXPBYIXY,2.71
RX3QTBEN,3.2
NY4DXWQC,3.57
DONSHPPG,2.71
ZC1VKI5T,2.7
N4KC1VFU,3.09
8Z1AQEVZ,2.82
RQHFPYKP,3.28
76UOAODT,3.35
UYQCIBWG,3.36
GZSWTXMY,2.89
YQPJEYIW,2.87
FQFFI5DA,3.19
O2SSDJFG,3.23
RQEXGIXE,3.13
MJHUXNOJ,3.4
QIPE19CB,2.83
3L5YH8RY,3.02
FWKWEGDL,3.15
XN3YD6GY,3.33
V1JSI8BN,2.44
EC2G6ZJL,3.23
CLIZJR9K,3.39
GQJMQVS6,3.06
E2AFBIBR,3.03
HGVCVY12,2.95
YP4HMORF,3.31
XJTSEZRF,3.06
FY6NFYAE,3.11
A2IWBYAP,3.0
CKCJ3INH,3.26
WHECKMAN,3.15
2XAQHNCQ,2.82
LRTOUEXP,2.94
QPKPRZ1B,3.29
VJQOD5AY,3.03
VH3TDXGB,3.34
KH4AULTX,3.06
JEO5FART,2.81
RYVDVSWM,3.26
ILWAUYPJ,3.0
72EPYXZQ,3.22
LH6LHGIV,2.85
D537CJQK,2.71
LHGSDY23,2.53
PJOGVSLC,3.14
82T2CDK2,2.64
V75EWN2H,3.54
YGZQZTTO,2.62
QTSAX144,2.97
NZPFGSOI,3.17
NSJBKDQH,2.76
EXSJD7IC,3.0
WXQY1A4J,3.68
9XGHQCH2,3.11
BLRNENDJ,2.89
YVZZA86Q,2.75
QPVHGWQN,2.92
UUMHKQE6,2.92
FUFUHPVG,3.55
QGOPNEAR,3.09
LK5SMBNK,2.71
BNL54SY2,3.29
FPHJNXKS,2.93
NLM4DMXP,2.64
TQ2U3TN8,3.43
K8UWXFTY,2.91
HSPVUF18,3.18
ZSIIWVM2,3.61
UWFUALD1,3.26
8DKYLDGS,3.32
2G9ZQK5C,2.61
V8RNZQAP,3.39
ZGSIPHAT,3.14
7QUAPITC,3.21
N81F7YCG,3.18
CFIWDHBY,3.27
FZKM6UFX,2.89
ZKU3NZMF,3.0
RHNVHBCL,2.93
QYF72XJI,2.86
WTQW4E7B,3.43
AHPUGVVR,3.21
FKTUUHJG,2.73
Q36EKMJP,3.53
IPKYWNT9,3.32
EYLHDLGE,3.55
ZC4ZLMG9,2.64
CHUAJLE8,3.5
R2JURQ2J,3.55
EYJW99Y9,3.41
YMDTBMWC,3.32
YCFMMWKA,3.0
JCXQNTJ2,3.0
QASW95VN,2.74
HYSEZ3MW,3.16
MT8WNUAJ,3.0
YI8MKPNF,2.6
RWRVJEBD,3.09
KA5IYFMS,3.28
PXRWRLQ7,2.97
AHHLABSP,3.13
XLG4UZ9G,2.9
7MUCLWXJ,3.17
RT866KBW,2.97
QABHLY8A,3.16
DXXHMNT3,3.03
JQPOMHAO,3.09
EKZUDD8O,3.26
LDN4SP6J,2.68
7R6BUKSM,3.0
ODVJGKDJ,3.0
4BIM6YNM,3.67
873DWSDN,3.52
HJNAS3FB,2.69
IAYNTNUK,3.72
FJH9IXPD,3.04
ILGLSBYC,3.19
IABDLJUO,3.16
XPOWRVGR,3.06
E328AE4B,3.26
GUKSELLG,2.94
6RRCZILH,2.69
WPOWIOG2,3.01
EVON41KK,2.82
JVSFHXCU,2.88
RGVBJGSD,2.84
1RJHFONJ,3.13
FZUNR7JL,3.15
3QLIGEX8,2.89
P1QXIEMF,3.48
2ZQUMM7W,3.2
CBLYB4BX,3.05
RIPVDIFF,2.96
NVRFJH15,3.03
JZTG1IAU,3.35
LBQNI9VE,3.08
NOAHWVNJ,3.0
VYZZZQJT,3.35
1T6LGB73,3.39
G89POEB1,2.97
EJRVN94A,3.18
LUEQSDLC,3.21
2FJCXVQJ,3.28
LLDPHFXI,3.23
ZKB5N8LG,3.56
RYLXV37G,3.25
3LBVBGEJ,3.23
KGM4S73K,2.98
5REDN5CM,3.51
BBMYPKRA,3.18
PHHT8DBX,3.13
XHVUQPHQ,3.24
HK9JKCCJ,2.96
